Project,Owner,Unit Id,Technology Type,Fuel Type,Unit Status,Nameplate Capacity (MW),Dispatch Type,Full Commercial Use Date,Source,summary_status,nameplatecapacity_mw_max,capacity_empty,region,summary_bucket
Lake Bonney Battery Energy Storage,Infigen Energy,1,Battery Storage,,Com*,25 MW / 52 MWh,S,May-19,,Committed,25,No,SA,Battery Storage
Lincoln Gap Wind Farm - stage 1,Lincoln Gap Wind Farm Pty Ltd,LGWT01-35,Wind - Onshore,Wind,Committed,126,SS,Apr-19,http://lincolngapwindfarm.com.au/about-the-project/,Committed,126,No,SA,Wind
Tailem Bend - Solar,Vena Energy,1,PV panels,Solar,Committed,108,SS,"Winter 2019
",,Committed,108,No,SA,Solar
Willogoleche Wind Farm,Willogoleche Power Pty Ltd,Station,Wind - Onshore,Wind,Committed,119.4,SS,Mar-19,,Committed,119.4,No,SA,Wind
Granville Harbour Wind Farm,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust,Jan-31,Wind - Onshore,Wind,Com*,111.6,SS,"Summer 2019-20
",http://www.westcoastwind.com.au/,Committed,111.6,No,TAS,Wind
Wild Cattle Hill Wind Farm,Wild Cattle Hill Pty Ltd,Jan-49,Wind - Onshore,Wind,Com*,144,SS,Dec-19,,Committed,144,No,TAS,Wind
Ballarat Energy Storage System,AusNet Services,1,Battery Storage,,Com*,30 MW / 30 MWh,S,Summer 2018-19,https://www.spotless.com/clients/ballarat-battery-energy-storage-system/,Committed,30,No,VIC,Battery Storage
Bannerton Solar Park,Foresight Solar Australia Pty Ltd,1,PV panels,Solar,Committed,88,SS,Sep-18,"http://www.bannertonsolarfarm.com.au/
www.foresightgroup.eu",Committed,88,No,VIC,Solar
Bulgana Green Power Hub - BESS,Bulgana Wind Farm Pty Ltd,1,Battery Storage,,Com*,20 MW / 34 MWh,SS,Aug-19,https://bulganawindfarm.com.au/,Committed,20,No,VIC,Battery Storage
Bulgana Green Power Hub - Wind Farm,Bulgana Wind Farm Pty Ltd,Jan-56,Wind - Onshore,Wind,Com*,194,SS,May-19,https://bulganawindfarm.com.au/,Committed,194,No,VIC,Wind
Cherry Tree Wind Farm,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,Units 1-16,Wind - Onshore,Wind,Com*,57.6,SS,May-20,,Committed,57.6,No,VIC,Wind
Cohuna Solar Farm,Cohuna Solar Farm Pty. Ltd,TBA,PV-Tracking Flat panel,Solar,Committed,27.27,SS,Aug-19,https://www.enelgreenpower.com/media/press/d/2018/09/enel-green-power-awarded-support-agreement-for-34-mw-of-new-solar-capacity-in-australian-state-renewable-auction ,Committed,27.27,No,VIC,Solar
Crowlands Wind Farm,Pacific Hydro Crowlands Pty Ltd,Units 1-39,Wind - Onshore,Wind,Committed,79.95,SS,Winter 2019,www.pacifichydro.com.au,Committed,79.95,No,VIC,Wind
Dundonnell Wind Farm,Tilt Renewables,Jan-80,Wind - Onshore,Wind,Com*,336,SS,Jul-20,https://www.tiltrenewables.com/assets-and-projects/Dundonnell-Wind-Farm/,Committed,336,No,VIC,Wind
Karadoc Solar Farm,Overland Sun Farming Pty Ltd,Solar Panels,PV-Tracking Flat panel,Solar,Com*,90,SS,Summer 2018-19,,Committed,90,No,VIC,Solar
Kiamal Solar Farm - Stage 1,Total Eren S.A.,Units 1 - 150,PV-Tracking Flat panel,Solar,Com*,200,SS,Winter 2019,,Committed,200,No,VIC,Solar
Lal Lal Wind Energy Facility - Elaine end,Northleaf /InfraRed/Macquarie Capital,39-60,Wind - Onshore,Wind,Com*,83.6,SS,Jul-19,,Committed,83.6,No,VIC,Wind
Lal Lal Wind Energy Facility - Yendon end,Northleaf /InfraRed/Macquarie Capital,Jan-38,Wind - Onshore,Wind,Com*,144.4,SS,Mar-19,"http://www.lallalwindfarms.com.au/
",Committed,144.4,No,VIC,Wind
Moorabool Wind Farm,Goldwind,Units 1-104,Wind - Onshore,Wind,Committed,320,SS,Sep-19,http://mooraboolwindfarm.com/,Committed,320,No,VIC,Wind
Mt Gellibrand,ACCIONA Energy,"1-22
23-44",Wind - Onshore,Wind,Committed,132,SS,Winter 2018,,Committed,132,No,VIC,Wind
Murra Warra Wind Farm - stage 1,Murra Warra Project Co Pty Ltd,Jan-61,Wind - Onshore,Wind,Committed,225.7,SS,Winter 2019,http://www.murrawarra-windfarm.com/,Committed,225.7,No,VIC,Wind
Numurkah Solar Farm,Neoen,Solar Panels,PV panels,Solar,Committed,100,SS,May-19,https://numurkahsolarfarm.com.au/,Committed,100,No,VIC,Solar
Stockyard Hill,Goldwind,1-149,Wind - Onshore,Wind,Committed,532,SS,Dec-19,,Committed,532,No,VIC,Wind
Wemen Solar Farm,Wemen Asset Co Pty Ltd as Trustee to Wemen Solar Unit Trust,Wemen Solar Farm 1 - 39,PV panels,Solar,Committed,87.75,SS,Oct-18,https://wirsol.com.au/portfolio/wemen-solar-farm/,Committed,87.75,No,VIC,Solar
Yatpool Solar Farm,BayWa r.e,Solar Panels,PV-Tracking Flat panel,Solar,Com*,81,SS,Winter 2019,http://www.baywa-re.com.au/en/projects/yatpool/,Committed,81,No,VIC,Solar
